id,name,dd_lat,dd_long
1,Aachen,50.776635609734,6.08367919921875
2,Aalen,48.8333333,10.1
3,Ahlen,51.7644403180351,7.88337707519531
4,Albstadt,48.2189541919074,9.0252685546875
6,Altenburg,50.9833333,12.45
7,Amberg,49.4413889,11.8622222
9,Ansbach,49.3018448197043,10.5695343017578
10,Arnsberg,51.3956712866226,8.06877136230469
11,Aschaffenburg,49.9738889,9.1491667
12,Aschersleben,51.75,11.4666667
13,"Aue (Sachsen)",50.5833333,12.7
14,Augsburg,48.3666667,10.8833333
15,Aurich,53.4666667,7.4833333
16,Baden-Baden,48.7603193078108,8.2423210144043
17,"Bad Homburg",50.2281554075195,8.61525535583496
18,"Bad Kreuznach",49.8461745367858,7.86432266235352
19,"Bad Nauheim",50.3620538694453,8.73541831970215
20,"Bad Oeynhausen",52.2,8.8
21,"Bad Salzuflen",52.0854134721211,8.7480354309082
22,Bamberg,49.8966248566981,10.8943176269531
23,Bautzen,51.1833333,14.4333333
24,Bayreuth,49.9480556,11.5783333
25,Beckum,51.7565778334756,8.03993225097656
26,Bensheim,49.6802778,8.6161111
28,"Bergisch Gladbach",50.9833333,7.1333333
30,Berlin,52.5166667,13.4
31,"Bernburg/ Saale",51.8,11.7333333
32,Bielefeld,52.026303596948,8.53328704833984
33,Bietigheim-Bissingen,48.9583552366558,9.12998199462891
34,Böblingen,48.6833333,9.0166667
35,Bocholt,51.8387474547124,6.61342620849609
36,Bochum,51.4833333,7.2166667
37,Bonn,50.7333333,7.1
38,"Borken (NRW)",51.8470198100969,6.85478210449219
41,Bottrop,51.5166667,6.9166667
42,"Brandenburg/ Havel",52.4112155367139,12.5614929199219
43,Braunschweig,52.2666667,10.5333333
44,Bremen,53.0833333,8.8
45,Bremerhaven,53.5431636030598,8.58169555664062
46,Bruchsal,49.1262413067208,8.59525680541992
47,Brühl,50.8333333,6.9
48,"Bühl (BW)",48.6982121656264,8.13571929931641
50,Buxtehude,53.473948303538,9.70230102539062
51,Castrop-Rauxel,51.55,7.3166667
52,Celle,52.6166667,10.0833333
53,Chemnitz,50.8333333,12.9166667
54,Coburg,50.25,10.9666667
55,Cottbus,51.7666667,14.3333333
56,Cuxhaven,53.8632584817275,8.69293212890625
57,Dachau,48.2602271126712,11.4347076416016
58,Darmstadt,49.8705556,8.6494444
60,Delmenhorst,53.05,8.6166667
61,Dessau,51.8333333,12.25
62,Detmold,51.9333333,8.8833333
63,Dillenburg,50.7333333,8.2833333
64,Dinslaken,51.5666667,6.7333333
66,Dorsten,51.6600980090061,6.96455955505371
67,Dortmund,51.5126954124352,7.46143341064453
69,Dresden,51.05,13.75
70,Duisburg,51.4351228841089,6.76534652709961
71,Dülmen,51.8300492368831,7.28324890136719
72,Düren,50.8,6.4833333
73,Düsseldorf,51.2243028107293,6.7730712890625
74,Eberswalde-Finow,52.8345064173135,13.8129043579102
75,Eisenach,50.9763723013804,10.3240585327148
76,Eisenhüttenstadt,52.147605363897,14.6615982055664
77,Elmshorn,53.75,9.65
78,Emden,53.3655089751419,7.20600128173828
80,Erftstadt,50.8026801761972,6.76689147949219
81,Erfurt,50.9750752631494,11.023063659668
82,Erkelenz,51.0833333,6.3166667
83,Erkrath,51.2247328363916,6.91005706787109
84,Erlangen,49.5897222,11.0038889
85,Eschweiler,50.8166667,6.2833333
86,Essen,51.4582854906181,7.01751708984375
87,"Esslingen/ Neckar",48.7403424265655,9.30713653564453
88,Ettlingen,48.95,8.4
89,Euskirchen,50.6666667,6.7833333
90,Fehmarn,54.4397001415779,11.1954116821289
92,Filderstadt,48.6571805590376,9.22061920166016
93,Flensburg,54.7833333,9.4333333
94,Föhr,54.7166667,8.5
95,"Frankenthal/ Pfalz",49.5372222,8.355
96,Frankfurt/Oder,52.35,14.55
97,Frankfurt/Main,50.1166667,8.6833333
98,Frechen,50.9166667,6.8166667
99,Freiberg/Sachsen,50.9147229707457,13.3404922485352
100,"Freiburg/ Breisgau",47.9955,7.8522
101,Freising,48.4032235676337,11.7447280883789
102,Freital,51.0031696477858,13.6505126953125
103,Friedrichshafen,47.6523799559118,9.47939872741699
104,Fulda,50.5535799564565,9.67449188232422
105,"Fürstenwalde/ Spree",52.3666667,14.0666667
106,Fürth,49.4761555668421,10.9842681884766
107,Garbsen,52.4166667,9.6
108,Garmisch-Partenkirchen,47.5,11.1
109,Gelsenkirchen,51.5136568898354,7.07588195800781
110,Gera,50.8666667,12.0833333
111,Geretsried,47.8600951810541,11.4768505096436
112,Germering,48.1333333,11.3666667
113,Gießen,50.5856344991719,8.6766242980957
114,Gifhorn,52.4833333,10.55
115,Gladbeck,51.5666667,6.9833333
116,Göppingen,48.7013844885982,9.65457916259766
117,Görlitz,51.1494743698626,14.9753898382187
118,Goslar,51.9,10.4333333
119,Gotha,50.95,10.7166667
120,Göttingen,51.5333333,9.9333333
121,Greifswald,54.1,13.3833333
122,Greiz,50.65,12.2
123,Grevenbroich,51.0833333,6.5833333
124,"Gronau/ Westfalen",52.2,7.0333333
125,Guben,51.95,14.7166667
126,Gummersbach,51.0333333,7.55
127,Güstrow,53.7955813894997,12.1731090545654
128,Gütersloh,51.9,8.3833333
129,Hagen,51.35,7.4666667
130,Halberstadt,51.9,11.05
131,"Halle/ Saale",51.5,12
133,Haltern,51.7333333,7.1833333
134,Hamburg,53.55,10
135,Hameln,52.1,9.35
136,Hamm,51.6833333,7.8
137,Hanau,50.1333333,8.9166667
138,Hannover,52.3666667,9.7166667
139,"Hattingen (NW)",51.4,7.1666667
140,Heidelberg,49.4166667,8.7
141,"Heidenheim/ Brenz",48.6833333,10.15
142,Heilbronn,49.1402778,9.22
143,Heinsberg,51.0666667,6.0833333
145,"Hennef/ Sieg",50.7833333,7.2833333
146,Herford,52.1333333,8.6833333
147,Herne,51.55,7.2166667
148,Herten,51.6,7.1333333
149,Herzogenrath,50.8666667,6.1
150,Hilden,51.1666667,6.9333333
151,Hildesheim,52.15,9.9666667
152,Hof,50.3166667,11.9166667
153,"Hofheim/ Taunus",50.0833333,8.45
154,Homburg,49.3166667,7.3333333
155,Hoyerswerda,51.4333333,14.25
157,Hürth,50.8666667,6.8666667
158,Ibbenbüren,52.2734096147254,7.71446228027344
159,Idar-Oberstein,49.7107166014744,7.35912322998047
160,Ingolstadt,48.7666667,11.4333333
161,Iserlohn,51.3666667,7.7
162,Itzehoe,53.9166667,9.5166667
163,Jena,50.9333333,11.5833333
165,Kaarst,51.2333333,6.6166667
166,Kaiserslautern,49.45,7.75
167,Kamen,51.6,7.6666667
168,Kamp-Lintfort,51.5,6.5333333
169,Karlsruhe,49.0047222,8.3858333
170,Kassel,51.3166667,9.5
171,Kaufbeuren,47.8833333,10.6166667
172,Kempen,51.3666667,6.4166667
173,Kempten/Allg.,47.7166667,10.3166667
174,Kerpen,50.8666667,6.7
175,Kiel,54.3333333,10.1333333
176,"Kirchheim unter Teck",48.65,9.45
